Date,PX_LAST,PX_VOLUME
6/8/2016,33.4152,22488810
6/9/2016,33.4721,24136766
6/10/2016,33.4531,20536448
6/13/2016,32.9317,29692587
6/14/2016,33.1687,31698717
6/15/2016,32.9791,20277743
6/16/2016,32.9412,22334530
6/17/2016,32.4388,33608565
6/20/2016,32.7042,22594776
6/21/2016,32.9412,25356674
6/22/2016,32.6758,25157102
6/23/2016,32.7895,23824757
6/24/2016,32.2018,44000223
6/27/2016,32.0407,29846683
6/28/2016,32.6473,23784246
6/29/2016,33.1877,24864130
6/30/2016,33.3773,26993796
7/1/2016,33.7185,19327637
7/5/2016,33.946,20847146
7/6/2016,33.9934,25832015
7/7/2016,33.9081,18103472
7/8/2016,34.2399,17792142
7/11/2016,34.2683,16515071
7/12/2016,34.3537,16192018
7/13/2016,34.42,13862889
7/14/2016,34.9983,27661388
7/15/2016,34.8561,25090491
7/18/2016,34.7328,16914164
7/19/2016,34.7328,16712509
7/20/2016,34.7708,12274287
7/21/2016,34.7992,13212689
7/22/2016,34.8276,13481509
7/25/2016,34.8655,12175764
7/26/2016,34.9129,12119508
7/27/2016,34.9319,15064000
7/28/2016,34.7613,16256954
7/29/2016,34.9698,21513828
8/1/2016,35.368,28378613
8/2/2016,34.4958,33125741
8/3/2016,33.4531,42638656
8/4/2016,33.3204,25125802
8/5/2016,33.5953,27196405
8/8/2016,33.1118,30540494
8/9/2016,33.254,17129391
8/10/2016,33.3014,14124597
8/11/2016,33.3204,13384075
8/12/2016,33.1592,15029166
8/15/2016,33.2825,12354034
8/16/2016,32.9791,15127343
8/17/2016,33.3109,17040893
8/18/2016,33.3583,16131301
8/19/2016,33.1592,19568121
8/22/2016,33.0265,26042442
8/23/2016,33.2635,16957910
8/24/2016,33.0076,22538088
8/25/2016,32.9602,18105382
8/26/2016,33.0076,18771960
8/29/2016,33.2825,15124885
8/30/2016,33.0644,14492181
8/31/2016,32.9886,20796612
9/1/2016,32.8749,15921155
9/2/2016,32.9602,14435849
9/6/2016,32.9602,16965863
9/7/2016,33.0265,14815540
9/8/2016,32.9128,18231711
9/9/2016,32.325,22386204
9/12/2016,32.8464,19423820
9/13/2016,32.2682,20757597
9/14/2016,32.1734,18904147
9/15/2016,32.363,20852944
9/16/2016,32.1734,25615509
9/19/2016,31.8985,17542252
9/20/2016,32.0501,14113245
9/21/2016,32.4957,15557394
9/22/2016,32.3724,16737398
9/23/2016,32.4767,12937101
9/26/2016,31.889,29525632
9/27/2016,32.0691,15610585
9/28/2016,32.2208,14307758
9/29/2016,31.5856,25043991
9/30/2016,32.107,28593974
10/3/2016,31.9269,17895999
10/4/2016,31.9648,20901129
10/5/2016,32.1355,13945331
10/6/2016,31.8985,15948590
10/7/2016,31.8132,14819706
10/10/2016,31.8606,16383660
10/11/2016,31.4055,17332125
10/12/2016,31.3487,15138764
10/13/2016,31.0548,24182290
10/14/2016,30.96,15569339
10/17/2016,30.8083,16923468
10/18/2016,30.9884,14823626
10/19/2016,30.9031,16363791
10/20/2016,30.8462,19292363
10/21/2016,30.505,18834961
10/24/2016,30.4576,19586374
10/25/2016,30.5998,19336056
10/26/2016,30.7135,17102660
10/27/2016,30.7894,18253037
10/28/2016,30.268,28508651
10/31/2016,30.0595,35949424
11/1/2016,29.4528,54350118
11/2/2016,29.0357,36084519
11/3/2016,28.3342,36329216
11/4/2016,28.4385,35028231
11/7/2016,28.7987,30877493
11/8/2016,28.4385,35451303
11/9/2016,30.4481,118753768
11/10/2016,31.7468,67275205
11/11/2016,30.8936,35803589
11/14/2016,30.6946,30568352
11/15/2016,30.5524,29614279
11/16/2016,30.2964,22641562
11/17/2016,30.0784,26093494
11/18/2016,29.8414,24156427
11/21/2016,29.9267,21872759
11/22/2016,29.6992,26434849
11/23/2016,29.7845,21270415
11/25/2016,30.0405,10452948
11/28/2016,29.8983,17735150
11/29/2016,30.2585,21642215
11/30/2016,30.4671,38519485
12/1/2016,29.8225,30606411
12/2/2016,29.9836,19007839
12/5/2016,29.9457,19300328
12/6/2016,29.9173,17706806
12/7/2016,29.5665,44053675
12/8/2016,29.3295,35493010
12/9/2016,30.05,29350843
12/12/2016,30.7135,32255700
12/13/2016,31.1212,28760300
12/14/2016,31.1117,36347068
12/15/2016,31.0453,20877122
12/16/2016,31.1306,37585369
12/19/2016,31.1212,24930729
12/20/2016,31.1401,25074289
12/21/2016,30.7135,18739717
12/22/2016,30.6567,18613336
12/23/2016,30.7894,10804464
12/27/2016,30.8368,11220427
12/28/2016,30.6661,13938755
12/29/2016,30.7989,14067567
12/30/2016,30.7894,18866618
1/3/2017,31.2823,22193434
1/4/2017,31.5572,21588216
1/5/2017,31.8606,20003366
1/6/2017,31.7373,17474593
1/9/2017,31.7278,20455302
1/10/2017,31.6994,19397333
1/11/2017,31.1212,40439412
1/12/2017,30.9031,31760852
1/13/2017,30.8273,20291186
1/17/2017,30.3912,32104523
1/18/2017,30.3628,21469733
1/19/2017,30.05,26144122
1/20/2017,30.1163,30159695
1/23/2017,29.8225,24760966
1/24/2017,29.5286,29625416
1/25/2017,29.6613,32168240
1/26/2017,29.6518,27185453
1/27/2017,29.7845,24054743
1/30/2017,29.6803,27464839
1/31/2017,30.0784,37450039
2/1/2017,30.0215,28493260
2/2/2017,30.0784,23372299
2/3/2017,30.4197,35991724
2/6/2017,30.5524,24534376
2/7/2017,30.4102,23512005
2/8/2017,30.4671,19160070
2/9/2017,30.6946,23816348
2/10/2017,30.6661,21907167
2/13/2017,30.9126,20620122
2/14/2017,31.0453,22965351
2/15/2017,31.7658,45574488
2/16/2017,31.87,38332300
2/17/2017,31.87,34992707
2/21/2017,31.87,24090742
2/22/2017,31.8416,27207299
2/23/2017,32.2871,30477129
2/24/2017,32.4767,24711954
2/27/2017,32.4957,21830284
2/28/2017,32.344,27480705
3/1/2017,32.6284,32291229
3/2/2017,32.7137,25572123
3/3/2017,32.7232,18837249
3/6/2017,32.562,18191883
3/7/2017,32.2208,29206226
3/8/2017,32.1449,22647434
3/9/2017,32.2776,19164707
3/10/2017,32.3345,19179038
3/13/2017,32.3345,18964029
3/14/2017,32.4388,14766085
3/15/2017,32.8275,23035916
